Set	Organism	Sample	Type of read	Length of raw read	Number of raw reads	Number of high quality reads	Number of mapped reads	Alignment rate
CC	Capsicum chinense "PI159236"	leaf-1	PE	101	13690578	13082324	6321122	96.64
CC	Capsicum chinense "PI159236"	leaf-2	PE	101	13485006	12654310	6025275	95.23
CC	Capsicum chinense "PI159236"	leaf-3	PE	101	21737894	20524542	9858212	96.06
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placenta1-1	PE	101	9209474	8807316	4328956	98.3
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placenta1-2	PE	101	11500904	10988958	5402383	98.32
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placenta1-3	PE	101	11913396	11429204	5613790	98.24
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placenta2-1	PE	101	11316474	10886124	5344642	98.19
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placenta2-2	PE	101	13141620	12603988	6181641	98.09
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placenta2-3	PE	101	12491142	12012166	5893242	98.12
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placenta3-1	PE	101	13282326	12801936	6280268	98.11
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placenta3-2	PE	101	11604122	11183286	5487994	98.15
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placenta3-3	PE	101	12599176	12131122	5951968	98.13
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaB-1	PE	101	12831736	12297088	6041426	98.26
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaB-2	PE	101	12235024	11715308	5762582	98.38
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaB-3	PE	101	13102264	12513180	6160902	98.47
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaB10-1	PE	101	11713796	11306268	5551265	98.2
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaB10-2	PE	101	11275674	10861454	5336302	98.26
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaB10-3	PE	101	11361248	10887912	5303453	97.42
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaB5-1	PE	101	13617276	13056820	6396986	97.99
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaB5-2	PE	101	12812810	12326752	6060565	98.33
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaB5-3	PE	101	12264092	11796202	5793735	98.23
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaMG-1	PE	101	11646124	11179026	5495995	98.33
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaMG-2	PE	101	10693066	10212134	5015827	98.23
CaECW.L1	Capsicum annuum "ECW.PL.L1"	placentaMG-3	PE	101	10379320	9886960	4859950	98.31
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placenta1-1	PE	101	9215530	8816362	4331358	98.26
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placenta1-2	PE	101	11543662	11024498	5417028	98.27
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placenta1-3	PE	101	11923110	11438356	5615491	98.19
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placenta2-1	PE	101	11326514	10900958	5349309	98.14
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placenta2-2	PE	101	13191108	12652826	6202214	98.04
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placenta2-3	PE	101	12520786	12041802	5904822	98.07
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placenta3-1	PE	101	13295994	12818036	6285061	98.07
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placenta3-2	PE	101	11658420	11238384	5512162	98.1
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placenta3-3	PE	101	12640814	12174668	5970626	98.08
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaB-1	PE	101	12832900	12294972	6037062	98.2
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaB-2	PE	101	12269942	11747860	5775613	98.33
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaB-3	PE	101	13138588	12544404	6173218	98.42
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaB10-1	PE	101	11691324	11288282	5539596	98.15
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaB10-2	PE	101	11309964	10899124	5351948	98.21
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaB10-3	PE	101	11400394	10920880	5317225	97.38
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaB5-1	PE	101	13655796	13092296	6411986	97.95
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaB5-2	PE	101	12859174	12373588	6079626	98.27
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaB5-3	PE	101	12283042	11820612	5802846	98.18
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaMG-1	PE	101	11694248	11228610	5518156	98.29
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaMG-2	PE	101	10724208	10235030	5024475	98.18
CaECW.L2	Capsicum annuum "ECW.PL.L2"	placentaMG-3	PE	101	10426684	9927404	4877734	98.27
CaZunla-1	Capsicum annuum "Zunla-1"	stem	PE	90	46312128	43495916	20924696	96.21
CaZunla-1	Capsicum annuum "Zunla-1"	leaf	PE	90	45956096	42860938	20494655	95.63
CaZunla-1	Capsicum annuum "Zunla-1"	bud	PE	90	44496230	41120912	19956872	97.06
CaZunla-1	Capsicum annuum "Zunla-1"	flower	PE	90	45928708	42272952	19597580	92.72
CaZunla-1	Capsicum annuum "Zunla-1"	fruitB5	PE	90	37167160	34660734	16923910	97.65
CaZunla-1	Capsicum annuum "Zunla-1"	root	PE	90	56450386	53441032	24748801	92.62
CaZunla-1	Capsicum annuum "Zunla-1"	fruitB3	PE	90	64486520	61484440	30063173	97.79
CaZunla-1	Capsicum annuum "Zunla-1"	fruitB7	PE	90	76023478	72663050	34545110	95.08
CaZunla-1	Capsicum annuum "Zunla-1"	fruit2	PE	90	36691372	34901896	16840992	96.5
CaZunla-1	Capsicum annuum "Zunla-1"	fruit1	PE	90	37253812	35457498	17025645	96.03
CaZunla-1	Capsicum annuum "Zunla-1"	fruit3	PE	90	46941144	44547614	21315517	95.7
CaZunla-1	Capsicum annuum "Zunla-1"	fruit4	PE	90	47066538	44448650	20015385	90.06
CaZunla-1	Capsicum annuum "Zunla-1"	fruitMG	PE	90	45942856	43615920	20725494	95.04
CaZunla-1	Capsicum annuum "Zunla-1"	fruitB	PE	90	42903778	41107196	19739424	96.04
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_1D-1	SE	101	1111224	1094895	992299	90.63
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_1D-2	SE	101	1022274	1006630	904539	89.86
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_1D-3	SE	101	1016775	1001924	901820	90.01
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_2D-1	SE	101	935948	923072	827072	89.6
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_2D-2	SE	101	808681	797152	728854	91.43
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_2D-3	SE	101	1167715	1151047	1048578	91.1
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_30m-1	SE	101	10243390	10153118	9577331	94.33
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_30m-2	SE	101	10160756	10076623	9533869	94.61
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_30m-3	SE	101	16018906	15875111	15148727	95.42
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_3D-1	SE	101	1076998	1061073	941559	88.74
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_3D-2	SE	101	952804	937735	861525	91.87
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_3D-3	SE	101	846431	832248	702304	84.39
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_4h-1	SE	101	4455879	4417566	4196496	95
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_4h-2	SE	101	2490284	2471024	2364602	95.69
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0_4h-3	SE	101	7992668	7924503	7593726	95.83
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0-up-1	SE	101	820338	807465	727771	90.13
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0-up-2	SE	101	673903	664499	595597	89.63
CaCM334_virus	Capsicum annuum "CM334"	TMV_P0-up-3	SE	101	744209	732180	656675	89.69
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_1D-1	SE	101	659428	648765	586773	90.44
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_1D-2	SE	101	630143	620493	555711	89.56
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_1D-3	SE	101	563861	556902	490038	87.99
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_2D-1	SE	101	463839	457055	412359	90.22
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_2D-2	SE	101	539096	531395	471821	88.79
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_2D-3	SE	101	430774	423831	376321	88.79
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_30m-1	SE	101	965471	952048	854478	89.75
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_30m-2	SE	101	1157605	1140736	1039274	91.11
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_30m-3	SE	101	1005360	991925	893295	90.06
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_3D-1	SE	101	914535	901476	811594	90.03
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_3D-2	SE	101	689267	678768	605321	89.18
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_3D-3	SE	101	680107	669166	599758	89.63
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_4h-1	SE	101	788242	776306	706200	90.97
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_4h-2	SE	101	762704	752537	682034	90.63
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2_4h-3	SE	101	684341	675238	607636	89.99
CaCM334_virus	Capsicum annuum "CM334"	TMV_P2-up-3	SE	101	766909	756410	670701	88.67
CaCM334	Capsicum annuum "CM334"	pericarp3-2	SE	50	6915840	6189268	5300130	85.63
CaCM334	Capsicum annuum "CM334"	pericarp3-3	SE	50	7035198	6337261	5421779	85.55
CaCM334	Capsicum annuum "CM334"	pericarp1-1	SE	50	6616955	5941499	5118321	86.15
CaCM334	Capsicum annuum "CM334"	pericarp1-2	SE	50	6118517	5487867	4721726	86.04
CaCM334	Capsicum annuum "CM334"	pericarp1-3	SE	50	5196716	4646100	3980474	85.67
CaCM334	Capsicum annuum "CM334"	pericarp2-1	SE	50	5981794	5358858	4597602	85.79
CaCM334	Capsicum annuum "CM334"	pericarp2-2	SE	50	5532804	4955081	4258866	85.95
CaCM334	Capsicum annuum "CM334"	pericarp2-3	SE	50	7674220	6881563	5740639	83.42
CaCM334	Capsicum annuum "CM334"	pericarp3-1	SE	50	6760184	6047452	5161965	85.36
CaCM334	Capsicum annuum "CM334"	pericarpB10-2	SE	50	7110023	6379885	5442986	85.31
CaCM334	Capsicum annuum "CM334"	pericarpB10-3	SE	50	9740247	8730066	6794948	77.83
CaCM334	Capsicum annuum "CM334"	pericarpB10-1	SE	50	7353453	6569422	5630089	85.7
CaCM334	Capsicum annuum "CM334"	pericarpB5-3	SE	50	7447366	6643399	5711450	85.97
CaCM334	Capsicum annuum "CM334"	pericarpB5-2	SE	50	6171817	5516764	4682012	84.87
CaCM334	Capsicum annuum "CM334"	pericarpB5-1	SE	50	7742102	6922851	5957376	86.05
CaCM334	Capsicum annuum "CM334"	pericarpB-3	SE	50	7557171	6747077	5779124	85.65
CaCM334	Capsicum annuum "CM334"	pericarpB-2	SE	50	7482420	6695425	5758667	86.01
CaCM334	Capsicum annuum "CM334"	pericarpB-1	SE	50	8352096	7474360	6331111	84.7
CaCM334	Capsicum annuum "CM334"	pericarpMG-3	SE	50	4915201	4769574	4552087	95.44
CaCM334	Capsicum annuum "CM334"	pericarpMG-2	SE	50	6547555	5873201	5045276	85.9
CaCM334	Capsicum annuum "CM334"	pericarpMG-1	SE	50	7309491	6549703	5633625	86.01
CaCM334	Capsicum annuum "CM334"	leaf-1	SE	51	5085841	5061443	2473857	48.88
CaCM334	Capsicum annuum "CM334"	leaf-2	SE	51	6617326	6598859	5096047	77.23
CaCM334	Capsicum annuum "CM334"	leaf-3	SE	51	6251422	6225468	4669610	75.01
CaCM334	Capsicum annuum "CM334"	leaf-4	SE	51	6194698	6184406	4632871	74.91
CaCM334	Capsicum annuum "CM334"	placenta1-1	SE	51	4510705	4498371	3865526	85.93
CaCM334	Capsicum annuum "CM334"	placenta1-2	SE	51	5219126	5202597	4173962	80.23
CaCM334	Capsicum annuum "CM334"	placenta1-3	SE	51	4787112	4772002	4082717	85.56
CaCM334	Capsicum annuum "CM334"	placenta2-1	SE	51	5046367	5032466	4549844	90.41
CaCM334	Capsicum annuum "CM334"	placenta2-2	SE	51	5577038	5558688	4960466	89.24
CaCM334	Capsicum annuum "CM334"	placenta2-3	SE	51	4102198	4091263	3660449	89.47
CaCM334	Capsicum annuum "CM334"	placenta3-1	SE	51	4826889	4804347	4349942	90.54
CaCM334	Capsicum annuum "CM334"	placenta3-2	SE	51	5025708	5015350	4562671	90.97
CaCM334	Capsicum annuum "CM334"	placenta3-3	SE	51	4928023	4905756	4430773	90.32
CaCM334	Capsicum annuum "CM334"	placentaB-1	SE	51	5006932	4995341	4551365	91.11
CaCM334	Capsicum annuum "CM334"	placentaB-2	SE	51	4531545	4519578	4099927	90.71
CaCM334	Capsicum annuum "CM334"	placentaB-3	SE	51	5284282	5270753	4782230	90.73
CaCM334	Capsicum annuum "CM334"	placentaB10-1	SE	51	5497067	5482441	4973581	90.72
CaCM334	Capsicum annuum "CM334"	placentaB10-2	SE	51	5352453	5335898	4827986	90.48
CaCM334	Capsicum annuum "CM334"	placentaB10-3	SE	51	4826512	4815298	4380215	90.96
CaCM334	Capsicum annuum "CM334"	placentaB5-1	SE	51	5008783	4997769	4561362	91.27
CaCM334	Capsicum annuum "CM334"	placentaB5-2	SE	51	6721704	6706487	6115389	91.19
CaCM334	Capsicum annuum "CM334"	placentaB5-3	SE	51	5584411	5570666	5068817	90.99
CaCM334	Capsicum annuum "CM334"	placentaMG-1	SE	51	4175313	4132552	3717543	89.96
CaCM334	Capsicum annuum "CM334"	placentaMG-2	SE	51	4365387	4324678	3818264	88.29
CaCM334	Capsicum annuum "CM334"	placentaMG-3	SE	51	3869107	3834437	3461604	90.28
CaCM334	Capsicum annuum "CM334"	root-1	SE	51	5051787	5037206	4540059	90.13
CaCM334	Capsicum annuum "CM334"	root-2	SE	51	5476014	5461657	4930704	90.28
CaCM334	Capsicum annuum "CM334"	root-3	SE	51	4107071	4095210	3683213	89.94
CaCM334	Capsicum annuum "CM334"	stem-1	SE	51	5417084	5401149	4698215	86.99
CaCM334	Capsicum annuum "CM334"	stem-2	SE	51	4704678	4692004	4055619	86.44
CaCM334	Capsicum annuum "CM334"	stem-3	SE	51	5914967	5897783	5097686	86.43
SlHeinz	Solanum lycopersicum "Heinz1706"	leaf-1	SE	48	11220678	11157650	10675452	95.68
SlHeinz	Solanum lycopersicum "Heinz1706"	leaf-2	SE	48	10969265	10889266	10465311	96.11
SlHeinz	Solanum lycopersicum "Heinz1706"	root-1	SE	49	10657563	10596644	10100831	95.32
SlHeinz	Solanum lycopersicum "Heinz1706"	root-2	SE	49	10650553	10503620	10033877	95.53
SlHeinz	Solanum lycopersicum "Heinz1706"	flower-1	SE	48	10761639	10704858	10271062	95.95
SlHeinz	Solanum lycopersicum "Heinz1706"	flower-2	SE	48	10433160	10339545	9947577	96.21
SlHeinz	Solanum lycopersicum "Heinz1706"	bud-1	SE	48	12988759	12885830	12275322	95.26
SlHeinz	Solanum lycopersicum "Heinz1706"	bud-2	SE	48	12711669	12584976	11998793	95.34
SlHeinz	Solanum lycopersicum "Heinz1706"	fruit1-1	SE	49	9158268	9106617	8635572	94.83
SlHeinz	Solanum lycopersicum "Heinz1706"	fruit1-2	SE	49	9572645	8985729	8499429	94.59
SlHeinz	Solanum lycopersicum "Heinz1706"	fruit2-1	SE	49	7864754	7813240	7129166	91.24
SlHeinz	Solanum lycopersicum "Heinz1706"	fruit2-2	SE	49	9252491	9106159	8098106	88.93
SlHeinz	Solanum lycopersicum "Heinz1706"	fruit3-1	SE	49	11791752	11717159	10589082	90.37
SlHeinz	Solanum lycopersicum "Heinz1706"	fruit3-2	SE	49	11772391	11676036	10510735	90.02
SlHeinz	Solanum lycopersicum "Heinz1706"	fruitMG-1	SE	48	8423857	8294155	7784777	93.86
SlHeinz	Solanum lycopersicum "Heinz1706"	fruitMG-2	SE	48	10214504	10005770	9439427	94.34
SlHeinz	Solanum lycopersicum "Heinz1706"	fruitB-1	SE	48	11534326	11445782	10973149	95.87
SlHeinz	Solanum lycopersicum "Heinz1706"	fruitB-2	SE	48	11111053	11011526	10593227	96.2
SlHeinz	Solanum lycopersicum "Heinz1706"	fruitB10-1	SE	48	14085509	14003838	13395743	95.66
SlHeinz	Solanum lycopersicum "Heinz1706"	fruitB10-2	SE	48	13515035	13414526	12872498	95.96
